symb,name,Purpose,Secondary,Region,Algorithm,Binance,Poloniex,Huobi
BTC,Bitcoin,Currency,Coinbase,,POW,,,
ETH,Ethereum,Platform,Coinbase,,POS,,,
XRP,XRP,Banking,,,CENTRALIZED,,,
BCH,BitcoinCash,Currency,Coinbase,,POW,,,
EOS,EOS,Platform,,,POS,,,
LTC,Litecoin,Currency,Coinbase,,POW,,,
XLM,Stellar,Banking,,,POS,,,
ADA,Cardano,Platform,,,,,,
MIOTA,IOTA,IoT,,,DAG,,,
USDT,Tether,Stablecoin,,,NA,,,
TRX,TRON,Scam,,Asia,POS,,,
NEO,NEO,Platform,,Asia,DPOS,,,
XMR,Monero,Currency,Privacy,,,,,
DASH,Dash,Currency,Privacy,,,,,
ETC,EthereumClassic,Platform,,,POW,,,
XEM,NEM,,,,,,,
BNB,BinanceCoin,Exchange Token,DEX,Asia,POS,,,
VEN,VeChain,,,Asia,POS,,,
XTZ,Tezos,Platform,,,POS,,,
OMG,OmiseGO,Banking,,Asia,POS,,,
QTUM,Qtum,Platform,,,,,,
ZEC,Zcash,Currency,Privacy,,POW,,,
ONT,Ontology,Governance,NEO ICO,Asia,,,,
ICX,ICON,Platform,,Asia,,,,
ZIL,Zilliqa,Scalability,,,,,,
LSK,Lisk,Platform,,,,,,
BCN,Bytecoin,,,,,,,
ZRX,0x,DEX,,,,,,
DCR,Decred,Currency,,,,,,
BTG,BitcoinGold,Fork Coin,,,,,,
AE,Aeternity,,,,,,,
BTS,BitShares,Platform,,,,,,
STEEM,Steem,Online Media,,,,,,
SC,Siacoin,,,,,,,
REP,Augur,,,,,,,
BTM,Bytom,,,,,,,
XVG,Verge,Scam,Privacy,,,,,
MKR,Maker,Stablecoin,,,,,,
NPXS,PundiX,,,,,,,
NANO,Nano,IoT,,,DAG,,,
DGB,DigiByte,,,,,,,
BCD,BitcoinDiamond,Fork Coin,,,,,,
DOGE,Dogecoin,Currency,Alts Indicator,,,,,
WAVES,Waves,Platform,,,,,,
GNT,Golem,Computation,,,,,,
PPT,Populous,,,,,,,
SNT,Status,,,,,,,
WAN,Wanchain,Interoperability,,Asia,,,,
STRAT,Stratis,,,,,,,
BAT,BasicAttenti...,Online Media,,,,,,
RHOC,RChain,,,,,,,
HSR,Hshare,,,,,,,
KCS,KuCoinShares,Exchange Token,,Asia,,,,
WTC,Waltonchain,Supply Chain,,Asia,,,,
BTCP,BitcoinPrivate,Fork Coin,Privacy,,,,,
NAS,Nebulas,,,,,,,
IOST,IOST,,,,,,,
XIN,Mixin,,,,,,,
DGD,DigixDAO,Security,,,,,,
LRC,Loopring,,,Asia,,,,
GXS,GXChain,,,,,,,
HT,HuobiToken,Exchange Token,,Asia,,,,
AION,Aion,Interoperability,,Asia,,,,
MITH,Mithril,,,,,,,
ELF,aelf,,,,,,,
KMD,Komodo,Platform,,,,,,
ARDR,Ardor,,,,,,,
ARK,Ark,,,,,,,
MAID,MaidSafeCoin,,,,,,,
BNT,Bancor,,,,,,,
LOOM,LoomNetwork,,,,,,,
FUN,FunFair,Gaming,,,,,,
MCO,Monaco,Scam,,,,,,
MONA,MonaCoin,Currency,,Asia,,,,
RDD,ReddCoin,eCommerce,,,,,,
ETHOS,Ethos,,,,,,,
KNC,KyberNetwork,,,,,,,
DCN,Dentacoin,,,,,,,
GAS,Gas,Platform,,Asia,,,,
CNX,Cryptonex,,,,,,,
CMT,CyberMiles,,,,,,,
VERI,Veritaseum,Scam,,,,,,
EMC,Emercoin,,,,,,,
CTXC,Cortex,,,,,,,
ELA,Elastos,,,,,,,
PIVX,PIVX,Currency,Privacy,,,,,
DROP,Dropil,,,,,,,
ENG,Enigma,,,,,,,
POLY,Polymath,Security,,,,,,
KIN,Kin,eCommerce,,,,,,
MOAC,MOAC,,,,,,,
THETA,ThetaToken,Online Media,,,,,,
MANA,Decentraland,Gaming,,,,,,
POWR,PowerLedger,Energy,,,,,,
FCT,Factom,,,,,,,
ETN,Electroneum,,,,,,,
NXT,Nxt,,,,,,,
WAX,WAX,,,,,,,
QASH,QASH,,,,,,,
SMART,SmartCash,,,,,,,
BIX,BiboxToken,,,,,,,
SYS,Syscoin,,,,,,,
PAYX,Paypex,,,,,,,
WICC,WaykiChain,,,,,,,
STORM,Storm,,,,,,,
CENNZ,Centrality,,,,,,,
SUB,Substratum,Computation,,,,,,
NULS,Nuls,,,,,,,
GTO,Gifto,,,,,,,
TUSD,TrueUSD,,,,,,,
XZC,ZCoin,Currency,Privacy,,,,,
DDD,Scry.info,,,,,,,
ZEN,ZenCash,,,,,,,
GTC,Game.com,,,,,,,
LINK,ChainLink,Oracle,,,,,,
MAN,MatrixAINet...,,,,,,,
DENT,Dent,,,,,,,
FSN,Fusion,,,,,,,
NXS,Nexus,,,,,,,
GBYTE,ByteballBytes,DAG,,,,,,
MTC,Docademic,,,,,,,
BLOCK,Blocknet,,,,,,,
STORJ,Storj,Data Storage,,,,,,
PAY,TenX,Crypto Payment,,,,,,
SALT,SALT,Lending,,,,,,
CVC,Civic,Identity,,,,,,
DRGN,Dragonchain,Platform,,,,,,
ICN,Iconomi,,,,,,,
AGI,SingularityNET,,,,,,,
TPAY,TokenPay,,,,,,,
BTCD,BitcoinDark,Fork Coin,,,,,,
BLZ,Bluzelle,Data Storage,,,,,,
RLC,iExecRLC,,,,,,,
NEXO,Nexo,,,,,,,
MDS,MediShares,,,,,,,
HPB,HighPerforma...,,,,,,,
DBC,DeepBrainChain,Computation,NEO ICO,Asia,,,,
ACT,Achain,,,,,,,
NCASH,NucleusVision,,,,,,,
ODE,ODEM,,,,,,,
R,Revain,,,,,,,
HOT,Holo,,,,,,,
BFT,BnkToTheFuture,,,,,,,
SKY,Skycoin,,,,,,,
TNB,TimeNewBank,,,,,,,
ANT,Aragon,Governance,,,,,,
CVT,CyberVein,,,,,,,
REQ,RequestNetwork,Crypto Payment,ICO,,,,,
SAN,SantimentNet...,,,,,,,
GNO,Gnosis,Prediction Markets,,,,,,
NTY,Nexty,,,,,,,
SNM,SONM,Computation,,,,,,
NEBL,Neblio,Platform,,,,,,
DATA,StreamrDATAcoin,,,,,,,
IGNIS,Ignis,,,,,,,
ABT,Arcblock,,,,,,,
SMT,SmartMesh,,,,,,,
DAI,Dai,Stablecoin,,,,,,
RUFF,Ruff,,,,,,,
PART,Particl,,,,,,,
TRUE,TrueChain,,,,,,,
TKY,THEKEY,,,,,,,
GRS,Groestlcoin,,,,,,,
EKT,EDUCare,,,,,,,
BTO,Bottos,,,,,,,
CND,Cindicator,,,,,,,
TTU,TaTaTu,,,,,,,
ENJ,EnjinCoin,Currency,Gaming,,,,,
AMB,Ambrosus,,,,,,,
EOSDAC,eosDAC,,,,,,,
VTC,Vertcoin,Currency,,,,,,
QSP,Quantstamp,Crypto Security,ICO,,,,,
KEY,Selfkey,,,,,,,
VEE,BLOCKv,,,,,,,
STQ,Storiqa,,,,,,,
SOC,AllSports,,,,,,,
POA,POANetwork,,,,,,,
XAS,Asch,,,,,,,
DTR,DynamicTradi...,,,,,,,
CS,Credits,,,,,,,
SAFEX,SafeExchange...,,,,,,,
GNX,GenaroNetwork,,,,,,,
POE,Po.et,,,,,,,
DEW,DEW,,,,,,,
BRD,Bread,Wallet,,,,,,
C20,CRYPTO20,,,,,,,
XDN,DigitalNote,,,,,,,
SRN,SIRINLABSToken,,,,,,,
RDN,RaidenNetwor...,Scalability,,,,,,
AUTO,Cube,,,,,,,
PLR,Pillar,,,,,,,
UBQ,Ubiq,Platform,,,,,,
MTL,Metal,Crypto Payment,,,,,,
BCI,BitcoinInterest,,,,,,,
GAME,GameCredits,,,,,,,
SKB,SakuraBloom,,,,,,,
PPC,Peercoin,,,,,,,
SPHTX,SophiaTX,,,,,,,
OCN,Odyssey,,,,,,,
ZCL,ZClassic,Scam,,,,,,
BOS,BOScoin,,,,,,,
ATX,Aston,,,,,,,
CRPT,Crypterium,,,,,,,
NKN,NKN,,,,,,,
MFT,Mainframe,,,,,,,
IHT,IHTRealEsta...,,,,,,,
LEND,ETHLend,Lending,,,,,,
TEN,Tokenomy,,,,,,,
ECA,Electra,,,,,,,
DPY,Delphy,,,,,,,
TIO,TradeToken,,,,,,,
FAIR,FairCoin,,,,,,,
TEL,Telcoin,,,,,,,
EDG,Edgeless,,,,,,,
IOTX,IoTeX,,,,,,,
GVT,GenesisVision,,,,,,,
BCO,BridgeCoin,,,,,,,
EDR,EndorProtocol,,,,,,,
DTA,DATA,,,,,,,
XSN,Stakenet,,,,,,,
INK,Ink,,,,,,,
BTX,Bitcore,,,,,,,
UNO,Unobtanium,,,,,,,
TERN,Ternio,,,,,,,
JNT,JibrelNetwork,,,,,,,
NANJ,NANJCOIN,,,,,,,
ITC,IoTChain,IoT,NEO ICO,Asia,,,,
BURST,Burst,,,,,,,
LCC,LitecoinCash,Fork Coin,,,,,,
ADX,AdEx,Online Media,NEO ICO,Asia,,,,
ETP,MetaverseETP,,,,,,,
XPM,Primecoin,,,,,,,
NAV,NavCoin,Currency,Privacy,,,,,
RPX,RedPulse,Online Media,NEO ICO,Asia,,,,
EMC2,Einsteinium,,,,,,,
BITCNY,bitCNY,,,,,,,
XWC,WhiteCoin,,,,,,,
SWFTC,SwftCoin,,,,,,,
RKT,Rock,,,,,,,
GO,GoChain,,,,,,,
PAI,PCHAIN,,,,,,,
LYM,Lympo,,,,,,,
TKN,TokenCard,,,,,,,
EDO,Eidoo,Wallet,,,,,,
INT,InternetNode...,,,,,,,
DCC,DistributedC...,,,,,,,
CPX,Apex,,,,,,,
TRAC,OriginTrail,Supply Chain,,,,,,
QKC,QuarkChain,,,,,,,
BAY,BitBay,,,,,,,
OST,OST,Platform,,,,,,
REN,RepublicProt...,,,,,,,
LGO,LGOExchange,,,,,,,
NLG,Gulden,,,,,,,
PPP,PayPie,,,,,,,
DAX,DAEX,,,,,,,
EXC,Eximchain,,,,,,,
SLS,SaluS,,,,,,,
PZM,PRIZM,,,,,,,
MRK,MARK.SPACE,,,,,,,
RCN,RipioCredit...,Lending,,,,,,
VIA,Viacoin,,,,,,,
QRL,QuantumResis...,,,,,,,
DNT,district0x,Governance,,,,,,
MNX,MinexCoin,,,,,,,
ZCN,0chain,,,,,,,
WGR,Wagerr,,,,,,,
YEE,YEE,,,,,,,
LINDA,Linda,,,,,,,
TOMO,TomoChain,,,,,,,
UTNP,Universa,,,,,,,
LYL,LoyalCoin,,,,,,,
BAX,BABB,,,,,,,
SNGLS,SingularDTV,,,,,,,
IVY,Ivy,,,,,,,
APIS,APIS,,,,,,,
TCT,TokenClub,,,,,,,
AST,AirSwap,DEX,,,,,,
BRM,BrahmaOS,,,,,,,
GIN,GINcoin,,,,,,,
FXT,FuzeX,,,,,,,
CPT,Cryptaur,,,,,,,
UTK,UTRUST,Identity,,,,,,
CLOAK,CloakCoin,,,,,,,
PST,Primas,,,,,,,
AEON,Aeon,,,,,,,
XCP,Counterparty,,,,,,,
DAT,Datum,,,,,,,
KICK,KickCoin,,,,,,,
BANCA,Banca,,,,,,,
HOT,HydroProtocol,,,,,,,
NMC,Namecoin,,,,,,,
TNT,Tierion,Identity,,,,,,
BZNT,Bezant,,,,,,,
WINGS,Wings,Platform,,,,,,
DATX,DATx,,,,,,,
ZCO,Zebi,,,,,,,
APPC,AppCoins,,,,,,,
PRE,Presearch,,,,,,,
WPR,WePower,Energy,,,,,,
SXDT,Spectre.aiDi...,,,,,,,
CPC,CPChain,,NEO ICO,Asia,,,,
SBD,SteemDollars,,,,,,,
RNTB,BitRent,,,,,,,
FTC,Feathercoin,,,,,,,
FUEL,Etherparty,,,,,,,
INS,INSEcosystem,,,,,,,
LBC,LBRYCredits,,,,,,,
CBC,CashBetCoin,,,,,,,
LKK,Lykke,,,,,,,
HYDRO,Hydrogen,,,,,,,
WABI,WaBi,Supply Chain,,Asia,,,,
MOD,Modum,,,,,,,
DCT,DECENT,,,,,,,
ZPT,Zeepin,,,,,,,
SPANK,SpankChain,Online Media,,,,,,
ION,ION,,,,,,,
OCT,OracleChain,,,,,,,
LET,LinkEye,,,,,,,
RVN,Ravencoin,,,,,,,
HAV,Havven,,,,,,,
SWM,Swarm,,,,,,,
MGO,MobileGo,,,,,,,
PHR,Phore,,,,,,,
PAC,PACcoin,Scam,,,,,,
TTT,TrustNote,,,,,,,
ART,Maecenas,,,,,,,
CDT,Blox,,,,,,,
YOYOW,YOYOW,,,,,,,
DOCK,Dock,,,,,,,
LUN,Lunyr,,,,,,,
MLN,Melon,,,,,,,
CAS,Cashaa,,,,,,,
NGC,NAGA,,,,,,,
TAAS,TaaS,,,,,,,
DBET,DecentBet,,,,,,,
AURA,AuroraDAO,,,,,,,
XBY,XTRABYTES,Gem,,,,,,
UGC,ugChain,,,,,,,
MVP,Merculet,,,,,,,
ECC,ECC,,,,,,,
ATN,ATN,,,,,,,
VIBE,VIBE,,,,,,,
XSH,SHIELD,,,,,,,
MSP,Mothership,Platform,,,,,,
MEDX,MediBloc[ERC20],,,,,,,
XDCE,XinFinNetwork,,,,,,,
HTML,HTMLCOIN,,,,,,,
MED,MediBloc[QRC20],,,,,,,
MOBI,Mobius,,,,,,,
PPY,Peerplays,,,,,,,
CSC,CasinoCoin,,,,,,,
XP,ExperiencePo...,,,,,,,
QLC,QLINK,,NEO ICO,Asia,,,,
XTO,Tao,,,,,,,
HST,DecisionToken,,,,,,,
EVN,Envion,,,,,,,
SSC,SelfSell,,,,,,,
UUU,UNetwork,,,,,,,
FOTA,Fortuna,,,,,,,
PURA,Pura,,,,,,,
TFD,TE-FOOD,,,,,,,
CREDO,Credo,,,,,,,
DAG,Constellation,,,,,,,
RNT,OneRootNetwork,,,,,,,
ELEC,Electrify.Asia,,,,,,,
VIB,Viberate,,,,,,,
XMX,XMax,,,,,,,
HVN,HiveProject,,,,,,,
UTT,UnitedTrader...,,,,,,,
QBT,Qbao,,,,,,,
LEO,LEOcoin,,,,,,,
1ST,FirstBlood,,,,,,,
BKX,Bankex,,,,,,,
SENT,Sentinel,,,,,,,
MER,Mercury,,,,,,,
IXT,iXledger,,,,,,,
UKG,UnikoinGold,,,,,,,
PEPECASH,PepeCash,,,,,,,
AMP,Synereo,,,,,,,
QUN,QunQun,,,,,,,
COSS,COSS,Exchange Token,,,,,,
HMQ,Humaniq,,,,,,,
CEEK,CEEKVR,,,,,,,
SOAR,Soarcoin,,,,,,,
AIT,AICHAIN,,,,,,,
PRL,Oyster,Online Media,,,,,,
COV,Covesting,,,,,,,
ZSC,Zeusshield,,,,,,,
KRM,Karma,,,,,,,
GRID,Grid+,,,,,,,
BCPT,BlockMasonCr...,,,,,,,
SHIFT,Shift,,,,,,,
CFI,Cofound.it,,,,,,,
BMC,Blackmoon,,,,,,,
TRIG,Triggers,,,,,,,
THC,HempCoin,Marijuana,,,,,,
DXT,Datawallet,,,,,,,
XEL,Elastic,,,,,,,
MTN,Medicalchain,Medical,,,,,,