Zak,Trevor,Kade,Vinnie,Jason,Nick,Paul,Chris,Joey,JP,Brendan,Lorenz
1,2,3,4,5,6,7,8,9,25,11,12
15,23,22,10,20,19,18,17,16,28,38,13
24,26,27,21,29,30,31,32,39,34,52,36
48,47,51,35,44,43,42,41,81,45,83,37
49,50,62,45,53,54,55,63,88,80,86,60
97,74,70,58,68,56,66,72,105,82,94,61
120,119,99,64,77,126,114,89,112,87,107,85
121,122,118,65,125,139,127,104,129,93,110,108
144,143,142,141,140,150,138,113,160,111,131,109
145,146,147,148,149,163,151,137,177,130,134,117
168,167,166,172,153,174,162,152,184,135,155,132
169,170,171,180,164,183,175,161,185,154,158,133
192,191,190,189,173,187,186,176,188,159,182,181
0,0,0,0,0,0,0,0,0,178,0,0