"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","vor","overallRank","adp","aav","adpDiff","exp","ecrPosition","sdRank","ecrRank","risk"
"Todd Gurley","RB","LAR",2552475,1994-08-03,371.125,371.125,371.125,,1,14.95,1,213.483333333333,1,1.63666666666667,45.275,-0.636666666666666,3,,,,
"David Johnson","RB","ARI",2553435,1991-12-16,364.35,364.35,364.35,,2,33.2375,1,206.708333333333,2,4.3475,46.4566666666667,-2.3475,3,,,,
"LeVeon Bell","RB","PIT",2540175,1992-02-18,348,348,348,,3,41.3125,0,190.358333333333,3,2.3525,49.9566666666667,0.6475,5,,,,
"Alvin Kamara","RB","NO",2558019,1996-06-25,314.225,314.225,314.225,,4,25.7125,0,156.583333333333,4,6.72,43.65,-2.72,1,,,,
"Antonio Brown","WR","PIT",2508061,1988-07-10,331.75,331.75,331.75,,1,12.8125,1,142.166666666667,5,5.585,47.0966666666667,-0.585,8,,,,
"Ezekiel Elliott","RB","DAL",2555224,1995-07-22,299.15,299.15,299.15,,5,22.8,0,141.508333333333,6,3.6625,49.6466666666667,2.3375,2,,,,
"Julio Jones","WR","ATL",2495454,1989-02-03,321.625,321.625,321.625,,2,10.0125,1,132.041666666667,7,10.532,37.8733333333333,-3.532,7,,,,
"Rob Gronkowski","TE","NE",497240,1989-05-14,277.5,277.5,277.5,,1,38.6875,1,127.75,8,17.684,25.67,-9.684,8,,,,
"DeAndre Hopkins","WR","HOU",2540165,1992-06-06,316.25,316.25,316.25,,3,19.0125,1,126.666666666667,9,7.036,41.7033333333333,1.964,5,,,,
"Kareem Hunt","RB","KC",2557917,1995-08-06,277.875,277.875,277.875,,6,6.95000000000005,0,120.233333333333,10,11.1825,39.0766666666667,-1.1825,1,,,,
"Odell Beckham","WR","NYG",2543496,1992-11-05,306.975,306.975,306.975,,4,23.35,1,117.391666666667,11,8.368,39.92,2.632,4,,,,
"Melvin Gordon","RB","LAC",2552469,1993-04-13,274.825,274.825,274.825,,7,13.9375,0,117.183333333333,12,9.528,36.7333333333333,2.472,3,,,,
"Travis Kelce","TE","KC",2540258,1989-10-05,261,261,261,,2,62.625,1,111.25,13,28.605,21.5766666666667,-15.605,5,,,,
"Dalvin Cook","RB","MIN",2557991,1995-08-10,267.025,267.025,267.025,,8,12.4875,0,109.383333333333,14,14.22,35.2166666666667,-0.220000000000001,1,,,,
"Michael Thomas","WR","NO",2556370,1993-03-03,287.5,287.5,287.5,,5,9.25,1,97.9166666666667,15,11.86,33.5633333333333,3.14,2,,,,
"Saquon Barkley","RB","NYG",2560968,1997-02-07,254.75,254.75,254.75,,9,4.67500000000001,0,97.1083333333333,16,7.0925,47.45,8.9075,0,,,,
"Christian McCaffrey","RB","CAR",2557997,1996-06-07,254.325,254.325,254.325,,10,9.09999999999999,0,96.6833333333333,17,16.246,27.1,0.754000000000001,1,,,,
"Aaron Rodgers","QB","GB",2506363,1983-12-02,347.82,347.82,347.82,,1,39.52,1,95.4533333333333,18,30.1125,19.9766666666667,-12.1125,13,,,,
"Davante Adams","WR","GB",2543495,1992-12-24,279.75,279.75,279.75,,6,10.375,0,90.1666666666667,19,20.7075,28.4566666666667,-1.7075,4,,,,
"Devonta Freeman","RB","ATL",2543583,1992-03-15,245.825,245.825,245.825,,11,2.46249999999998,0,88.1833333333333,20,17.698,27.6233333333333,2.302,4,,,,
"Keenan Allen","WR","LAC",2540154,1992-04-27,276.75,276.75,276.75,,7,18.125,0,87.1666666666667,21,12.89,33.4966666666667,8.11,5,,,,
"Joe Mixon","RB","CIN",2557976,1996-07-24,244.625,244.625,244.625,,12,3.96249999999998,0,86.9833333333333,22,25.212,15.58,-3.212,1,,,,
"Jerick McKinnon","RB","SF",2543715,1992-05-03,242.1,242.1,242.1,,13,14.7,0,84.4583333333334,23,22.48,21.34,0.52,4,,,,
"Leonard Fournette","RB","JAC",2557973,1995-01-18,239.225,239.225,239.225,,14,27.5875,0,81.5833333333334,24,9.055,39.6466666666667,14.945,1,,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,262,262,262,,8,7.11250000000001,0,72.4166666666667,25,21.025,30.0033333333333,3.975,7,,,,
"Zach Ertz","TE","PHI",2540158,1990-11-10,216.625,216.625,216.625,,3,36.8125,0,66.875,26,28.04,16.4366666666667,-2.04,5,,,,
"Mike Evans","WR","TB",2543468,1993-08-21,255.25,255.25,255.25,,9,1.61250000000001,0,65.6666666666667,27,19.346,29.7533333333333,7.654,4,,,,
"Golden Tate","WR","DET",497326,1988-08-02,254.525,254.525,254.525,,10,2.33750000000001,0,64.9416666666667,28,39.402,8.48333333333333,-11.402,8,,,,
"Doug Baldwin","WR","SEA",2530747,1988-09-21,252.75,252.75,252.75,,11,1.3125,0,63.1666666666667,29,28.036,18.34,0.963999999999999,7,,,,
"Larry Fitzgerald","WR","ARI",2506106,1983-08-31,251.625,251.625,251.625,,12,4.5625,0,62.0416666666667,30,29.328,21.34,0.672000000000001,14,,,,
"Russell Wilson","QB","SEA",2532975,1988-11-29,314.4,314.4,314.4,,2,17.4,1,62.0333333333334,31,42.836,11.2466666666667,-11.836,6,,,,
"Amari Cooper","WR","OAK",2552487,1994-06-18,251.25,251.25,251.25,,13,9.25,0,61.6666666666667,32,33.962,9.40333333333333,-1.962,3,,,,
"Derrius Guice","RB","WAS",2561000,1997-06-21,215.575,215.575,215.575,,15,8.79999999999998,0,57.9333333333333,33,35.008,13.1266666666667,-2.008,0,,,,
"Demaryius Thomas","WR","DEN",497328,1987-12-25,242.875,242.875,242.875,,14,4.3125,0,53.2916666666667,34,44.94,14.73,-10.94,8,,,,
"Tyreek Hill","WR","KC",2556214,1994-03-01,241.125,241.125,241.125,,15,5.3125,0,51.5416666666667,35,32.2375,22.5733333333333,2.7625,2,,,,
"Jay Ajayi","RB","PHI",2552582,1993-06-15,207.7,207.7,207.7,,16,4.77499999999998,0,50.0583333333333,36,49.775,8.12,-13.775,3,,,,
"Tom Brady","QB","NE",2504211,1977-08-03,302.2,302.2,302.2,,3,19.4999999999999,0,49.8333333333333,37,39.49,14.5066666666667,-2.49,18,,,,
"Alex Collins","RB","BAL",2555430,1994-08-26,205.85,205.85,205.85,,17,8.70000000000002,0,48.2083333333334,38,38.276,8,-0.276000000000003,2,,,,
"Adam Thielen","WR","MIN",2541785,1990-08-22,236,236,236,,16,0.6875,0,46.4166666666667,39,30.6225,23.77,8.3775,4,,,,
"T.Y. Hilton","WR","IND",2532865,1989-11-14,235.625,235.625,235.625,,17,4.0625,0,46.0416666666667,40,25.354,20.1466666666667,14.646,6,,,,
"Allen Robinson","WR","CHI",2543509,1993-08-24,235,235,235,,18,11.0625,0,45.4166666666667,41,34.57,12.97,6.43,4,,,,
"Jordan Howard","RB","CHI",2555418,1994-11-02,200,200,200,,18,6.48750000000001,0,42.3583333333333,42,23.61,19.0666666666667,18.39,2,,,,
"Cam Newton","QB","CAR",2495455,1989-05-11,291.8,291.8,291.8,,4,19.45,0,39.4333333333333,43,50.41,7.71,-7.41,7,,,,
"JuJu Smith-Schuster","WR","PIT",2558149,1996-11-22,228.125,228.125,228.125,,19,9.63749999999999,0,38.5416666666667,44,35.836,14.28,8.164,1,,,,
"Lamar Miller","RB","HOU",2533034,1991-04-25,194.3,194.3,194.3,,19,2.125,0,36.6583333333334,45,47.972,4.63333333333333,-2.972,6,,,,
"Duke Johnson","RB","CLE",2552461,1993-09-23,192.725,192.725,192.725,,20,5.19999999999999,0,35.0833333333333,46,79.334,2.75,-33.334,3,,,,
"Dion Lewis","RB","TEN",2495469,1990-09-27,191.625,191.625,191.625,,21,11.6125,0,33.9833333333333,47,60.71,4.03333333333333,-13.71,7,,,,
"Delanie Walker","TE","TEN",2495966,1984-08-12,180.125,180.125,180.125,,4,8.3125,0,30.375,48,57.714,3.96333333333333,-9.714,12,,,,
"Michael Crabtree","WR","BAL",71269,1987-09-14,219.75,219.75,219.75,,20,3.07499999999999,0,30.1666666666667,49,61.718,3.93333333333333,-12.718,9,,,,
"Evan Engram","TE","NYG",2557858,1994-09-02,179.5,179.5,179.5,,5,16.4375,0,29.75,50,47.928,5.68,2.072,1,,,,
"Stefon Diggs","WR","MIN",2552608,1993-11-29,217.225,217.225,217.225,,21,1.22499999999999,0,27.6416666666667,51,33.6025,12.7533333333333,17.3975,3,,,,
"Devin Funchess","WR","CAR",2552458,1994-05-21,216.125,216.125,216.125,,22,4.28749999999999,0,26.5416666666667,52,75.396,3.12,-23.396,3,,,,
"Alshon Jeffery","WR","PHI",2533039,1990-02-14,215.875,215.875,215.875,,23,9.55000000000001,0,26.2916666666667,53,44.262,8.33333333333333,8.738,6,,,,
"Rex Burkhead","RB","NE",2539265,1990-07-02,183.425,183.425,183.425,,22,7.02500000000003,0,25.7833333333334,54,74.02,1.73666666666667,-20.02,5,,,,
"Drew Brees","QB","NO",2504775,1979-01-15,273.6,273.6,273.6,,5,4.53999999999996,0,21.2333333333333,55,61.102,5.00666666666667,-6.102,17,,,,
"Jaguars","DST","JAC",100015,,143,143,143,,1,20.5,1,21,56,74.91,6.99,-18.91,48,,,,
"Tevin Coleman","RB","ATL",2552453,1993-04-16,176.6,176.6,176.6,,23,1.01249999999999,0,18.9583333333333,57,68.652,3.07666666666667,-11.652,3,,,,
"Matthew Stafford","QB","DET",79860,1988-02-07,271.1,271.1,271.1,,6,5.31999999999999,0,18.7333333333333,58,95.17,3.60666666666667,-37.17,9,,,,
"Chris Thompson","RB","WAS",2540011,1990-10-20,176.2,176.2,176.2,,24,1.27499999999998,0,18.5583333333333,59,84.302,1.99333333333333,-25.302,5,,,,
"Robby Anderson","WR","NYJ",2556462,1993-05-09,207.8,207.8,207.8,,24,3.0625,0,18.2166666666667,60,80.66,2.03,-20.66,2,,,,
"Marlon Mack","RB","IND",2558123,1996-03-07,174.975,174.975,174.975,,25,0.675000000000011,0,17.3333333333334,61,71.148,2.63,-10.148,1,,,,
"Kenyan Drake","RB","MIA",2555230,1994-01-26,174.875,174.875,174.875,,26,2.08749999999998,0,17.2333333333333,62,44.3275,12.8966666666667,17.6725,2,,,,
"Derrick Henry","RB","TEN",2556075,1994-07-17,173.725,173.725,173.725,,27,2.1875,0,16.0833333333334,63,35.702,11.7833333333333,27.298,2,,,,
"Randall Cobb","WR","GB",2495448,1990-08-22,204.85,204.85,204.85,,25,0.724999999999994,0,15.2666666666667,64,75.122,2.69666666666667,-11.122,7,,,,
"Chris Hogan","WR","NE",2530515,1988-10-24,204.625,204.625,204.625,,26,3.5,0,15.0416666666667,65,60.37,3.57333333333333,4.63,7,,,,
"Philip Rivers","QB","LAC",2506121,1981-12-08,267.02,267.02,267.02,,7,4.94999999999999,0,14.6533333333334,66,95.724,2.36666666666667,-29.724,14,,,,
"Trey Burton","TE","CHI",2550284,1991-10-29,164.125,164.125,164.125,,6,3.875,0,14.375,67,86.1,2.63666666666667,-19.1,4,,,,
"Ty Montgomery","RB","GB",2552429,1993-01-22,171.85,171.85,171.85,,28,1.34999999999999,0,14.2083333333333,68,99.432,1.6,-31.432,3,,,,
"Jarvis Landry","WR","CLE",2543488,1992-11-28,203.625,203.625,203.625,,27,5.25,0,14.0416666666667,69,39.732,8.97666666666667,29.268,4,,,,
"Isaiah Crowell","RB","NYJ",2550189,1993-01-08,171.225,171.225,171.225,,29,2.58750000000003,0,13.5833333333334,70,78.31,2.09,-8.31,4,,,,
"Greg Olsen","TE","CAR",2495700,1985-03-11,162,162,162,,7,3.9375,0,12.25,71,60.375,6.51333333333333,10.625,11,,,,
"Deshaun Watson","QB","HOU",2558063,1995-09-14,264.54,264.54,264.54,,8,6.61000000000001,0,12.1733333333333,72,35.896,12.56,36.104,1,,,,
"LeSean McCoy","RB","BUF",79607,1988-07-12,169.775,169.775,169.775,,30,2.59999999999999,0,12.1333333333334,73,28.98,30.06,44.02,9,,,,
"James White","RB","NE",2543773,1992-02-03,167.5,167.5,167.5,,31,1.76249999999999,0,9.85833333333335,74,112.626,1.09333333333333,-38.626,4,,,,
"Royce Freeman","RB","DEN",2560733,1996-02-24,166.85,166.85,166.85,,32,4.85000000000002,0,9.20833333333337,75,49.848,8.11333333333333,25.152,0,,,,
"Emmanuel Sanders","WR","DEN",497322,1987-03-17,198.625,198.625,198.625,,28,0.75,0,9.04166666666666,76,69.39,4.07,6.61,8,,,,
"Jimmy Graham","TE","GB",497236,1986-11-24,158.5,158.5,158.5,,8,6.125,0,8.75,77,47.594,6.12333333333333,29.406,8,,,,
"Brandin Cooks","WR","LAR",2543498,1993-09-25,198.125,198.125,198.125,,29,0.875,0,8.54166666666666,78,42.698,6.85666666666667,35.302,4,,,,
"Marqise Lee","WR","JAC",2543475,1991-11-25,197.625,197.625,197.625,,30,0.875,0,8.04166666666666,79,100.91,1.38,-21.91,4,,,,
"Kyle Rudolph","TE","MIN",2495438,1989-11-09,157.625,157.625,157.625,,9,11.8125,0,7.875,80,61.952,3.31666666666667,18.048,7,,,,
"Marvin Jones","WR","DET",2532884,1990-03-12,196.875,196.875,196.875,,31,2.4375,0,7.29166666666666,81,50.664,5.77,30.336,6,,,,
"Matt Ryan","QB","ATL",310,1985-05-17,259.6,259.6,259.6,,9,3.95000000000005,0,7.23333333333335,82,92.38,3.23,-10.38,10,,,,
"Jamison Crowder","WR","WAS",2552415,1993-06-17,196.625,196.625,196.625,,32,4.4375,0,7.04166666666666,83,77.794,1.88666666666667,5.206,3,,,,
"Mark Ingram","RB","NO",2495466,1989-12-21,164.625,164.625,164.625,,33,5.63749999999999,0,6.98333333333335,84,44.1675,5.02,39.8325,7,,,,
"Alex Smith","QB","WAS",2506340,1984-05-07,256.26,256.26,256.26,,10,2.08999999999997,0,3.89333333333332,85,108.034,2.10333333333333,-23.034,13,,,,
"Blake Bortles","QB","JAC",2543477,1991-12-16,255.04,255.04,255.04,,11,2.38999999999999,0,2.67333333333332,86,118.86,1.73333333333333,-32.86,4,,,,
"Cooper Kupp","WR","LAR",2557898,1993-06-15,192.25,192.25,192.25,,33,0.375,0,2.66666666666666,87,78.984,2.81,8.01600000000001,1,,,,
"Pierre Garcon","WR","SF",2346,1986-08-08,192.125,192.125,192.125,,34,1.5,0,2.54166666666666,88,70.896,3.33333333333333,17.104,10,,,,
"Kenny Stills","WR","MIA",2540202,1992-04-22,191.625,191.625,191.625,,35,3.0625,0,2.04166666666666,89,103.952,1.37,-14.952,5,,,,
"Marshawn Lynch","RB","OAK",2495663,1986-04-22,159.375,159.375,159.375,,34,2.60000000000002,0,1.73333333333335,90,63.776,5.44666666666667,26.224,11,,,,
"Ravens","DST","BAL",100002,,123,123,123,,2,1.5,1,1,91,121.773333333333,1.57666666666667,-30.7733333333333,48,,,,
"Devontae Booker","RB","DEN",2555223,1992-05-27,158.6,158.6,158.6,,35,5.92499999999998,0,0.958333333333343,92,108.752,1.26333333333333,-16.752,2,,,,
"Kirk Cousins","QB","MIN",2532820,1988-08-19,253.3,253.3,253.3,,12,1.40000000000001,0,0.933333333333337,93,66.674,5.51666666666667,26.326,6,,,,
"DeVante Parker","WR","MIA",2552409,1993-01-20,189.625,189.625,189.625,,36,2.9375,0,0.0416666666666572,94,79.84,2.45,14.16,3,,,,
"Chargers","DST","LAC",100028,,122,122,122,,3,5,1,0,95,118.906666666667,1.72666666666667,-23.9066666666667,48,,,,
"Patrick Mahomes","QB","KC",2558125,1995-09-17,252,252,252,,13,0.620000000000005,0,-0.366666666666674,96,88.6325,3.40333333333333,7.36750000000001,1,,,,
"Dak Prescott","QB","DAL",2555260,1993-07-29,251.8,251.8,251.8,,14,1.24000000000001,0,-0.566666666666663,97,104.8,3.22666666666667,-7.8,2,,,,
"Eagles","DST","PHI",100025,,121,121,121,,4,8.5,0,-1,98,95.85,2.9,2.14999999999999,48,,,,
"Jared Goff","QB","LAR",2555334,1994-10-14,250.96,250.96,250.96,,15,1.50999999999999,0,-1.40666666666667,99,91.072,3.50333333333333,7.928,2,,,,
"Sammy Watkins","WR","KC",2543457,1993-06-14,187.5,187.5,187.5,,37,1.75,0,-2.08333333333334,100,65.812,4,34.188,4,,,,
"Ben Roethlisberger","QB","PIT",2506109,1982-03-02,250.16,250.16,250.16,,16,2.37,0,-2.20666666666665,101,86.48,2.96333333333333,14.52,14,,,,
"David Njoku","TE","CLE",2557986,1996-07-10,147.125,147.125,147.125,,10,3.3125,0,-2.625,102,101.628,2.28,0.372,1,,,,
"Javorius Allen","RB","BAL",2552631,1991-08-27,154.95,154.95,154.95,,36,4.64999999999998,0,-2.69166666666666,103,170.946666666667,0.65,-67.9466666666667,3,,,,
"Carson Wentz","QB","PHI",2555259,1992-12-30,248.74,248.74,248.74,,17,3.02000000000001,0,-3.62666666666667,104,47.102,8.07,56.898,2,,,,
"Danny Amendola","WR","MIA",2649,1985-11-02,185.875,185.875,185.875,,38,0.875,0,-3.70833333333334,105,162.7625,0.803333333333333,-57.7625,10,,,,
"Nelson Agholor","WR","PHI",2552600,1993-05-24,185.625,185.625,185.625,,39,2.125,0,-3.95833333333334,106,94.22,2.02333333333333,11.78,3,,,,
"Corey Davis","WR","TEN",2557848,1995-01-11,184.375,184.375,184.375,,40,2.125,0,-5.20833333333334,107,57.494,4.29333333333333,49.506,1,,,,
"Vance McDonald","TE","PIT",2540215,1990-06-13,144.5,144.5,144.5,,11,3.875,0,-5.25,108,127.962,0.666666666666667,-19.962,5,,,,
"Jimmy Garoppolo","QB","SF",2543801,1991-11-02,246.84,246.84,246.84,,18,4.19,0,-5.52666666666667,109,76.84,4.58666666666667,32.16,4,,,,
"Jack Doyle","TE","IND",2540232,1990-05-05,143.125,143.125,143.125,,12,5.5,0,-6.625,110,95.81,1.79666666666667,14.19,5,,,,
"Josh Gordon","WR","CLE",2537931,1991-04-13,182.625,182.625,182.625,,41,1.57499999999999,0,-6.95833333333334,111,40.514,10.0633333333333,70.486,6,,,,
"Giovani Bernard","RB","CIN",2540156,1991-11-22,150.4,150.4,150.4,,37,0.325000000000017,0,-7.24166666666665,112,106.846,1.24333333333333,5.15400000000001,5,,,,
"Tarik Cohen","RB","CHI",2558250,1995-07-26,150.2,150.2,150.2,,38,0.974999999999994,0,-7.44166666666666,113,72.186,2.44333333333333,40.814,1,,,,
"Kerryon Johnson","RB","DET",2560765,1997-06-30,149.95,149.95,149.95,,39,2.33749999999998,0,-7.69166666666666,114,71.302,4.06333333333333,42.698,0,,,,
"Robert Woods","WR","LAR",2540169,1992-04-10,181.875,181.875,181.875,,42,2.07499999999999,0,-7.70833333333334,115,70.034,4.15333333333333,44.966,5,,,,
"Marcus Mariota","QB","TEN",2552466,1993-10-30,244.6,244.6,244.6,,19,4.13999999999999,0,-7.76666666666668,116,103.388,2.86333333333333,12.612,3,,,,
"Patriots","DST","NE",100021,,113,113,113,,5,1.5,0,-9,117,140.37,1.14333333333333,-23.37,48,,,,
"Theo Riddick","RB","DET",2540020,1991-05-04,148.5,148.5,148.5,,40,3.51249999999999,0,-9.14166666666665,118,120.246,1.18666666666667,-2.24600000000001,5,,,,
"Marquise Goodwin","WR","SF",2539964,1990-11-19,180.225,180.225,180.225,,43,3.98749999999998,0,-9.35833333333335,119,84.346,2.13,34.654,5,,,,
"Broncos","DST","DEN",100009,,112,112,112,,6,2,0,-10,120,132.876666666667,1.43333333333333,-12.8766666666667,48,,,,
"Rishard Matthews","WR","TEN",2532903,1989-10-12,179.375,179.375,179.375,,44,6.94999999999999,0,-10.2083333333333,121,113.802,1.36,7.19800000000001,6,,,,
"Carlos Hyde","RB","CLE",2543743,1990-09-20,146.725,146.725,146.725,,41,4.53750000000002,0,-10.9166666666666,122,86.84,2.15666666666667,35.16,4,,,,
"Vikings","DST","MIN",100020,,111,111,111,,7,2.5,0,-11,123,100.58,2.65666666666667,22.42,48,,,,
"George Kittle","TE","SF",2558266,1993-10-09,138.125,138.125,138.125,,13,2.6875,0,-11.625,124,101.156,1.78,22.844,1,,,,
"Andy Dalton","QB","CIN",2495143,1987-10-29,240.7,240.7,240.7,,20,2.59,0,-11.6666666666667,125,161.35,1.45666666666667,-36.35,7,,,,
"Case Keenum","QB","DEN",2532888,1988-02-12,240.22,240.22,240.22,,21,5.06999999999996,0,-12.1466666666667,126,160.335,1.72,-34.335,6,,,,
"Charles Clay","TE","BUF",2495139,1989-02-13,137.125,137.125,137.125,,14,4.6875,0,-12.625,127,106.8275,1.21333333333333,20.1725,7,,,,
"Steelers","DST","PIT",100027,,109,109,109,,8,1,0,-13,128,148.45,1.19,-20.45,48,,,,
"Rams","DST","LAR",100017,,108,108,108,,9,2,0,-14,129,89.04,4.17666666666667,39.96,48,,,,
"Seahawks","DST","SEA",100030,,108,108,108,,9,4.5,0,-14,129,177.45,0.703333333333333,-48.45,48,,,,
"Rashaad Penny","RB","SEA",2560835,1996-02-02,143.25,143.25,143.25,,42,3.44999999999999,0,-14.3916666666667,131,40.018,16.0866666666667,90.982,0,,,,
"Jordan Reed","TE","WAS",2540160,1990-07-03,133.75,133.75,133.75,,15,3.0625,0,-16,132,71.088,2.71,60.912,5,,,,
"Ryan Tannehill","QB","MIA",2532956,1988-07-27,236,236,236,,22,2.70000000000002,0,-16.3666666666666,133,164.953333333333,1.16333333333333,-31.9533333333333,6,,,,
"Julian Edelman","WR","NE",238498,1986-05-22,173.1,173.1,173.1,,45,1.41249999999999,0,-16.4833333333333,134,73.378,4.18333333333333,60.622,9,,,,
"Chris Ivory","RB","BUF",2507999,1988-03-22,141.125,141.125,141.125,,43,2.73749999999998,0,-16.5166666666667,135,132.818,0.69,2.18199999999999,8,,,,
"Tyrell Williams","WR","LAC",2553913,1992-02-12,171.75,171.75,171.75,,46,2.9375,0,-17.8333333333333,136,129.564,0.906666666666667,6.43600000000001,3,,,,
"Mohamed Sanu","WR","ATL",2533040,1989-08-22,171.625,171.625,171.625,,47,7.875,0,-17.9583333333333,137,125.83,1.22333333333333,11.17,6,,,,
"Texans","DST","HOU",100013,,104,104,104,,11,1.5,0,-18,138,116.493333333333,1.69,21.5066666666667,48,,,,
