"","symb","name.x","mcap","price","supply","vol","ch1h","ch24h","ch7d","name.y","algo","prooftype","premined","name","Purpose1","Purpose2","Regional","ConsensusAlgo","xchg-Binance","xchg-Poloniex","xchg-Huobi","Cat_mcap","Cat_rank","Cat_price.USD","Cat_price.BTC","Cat_supply","Category"
"1","1ST","FirstBlood",14119270,0.165025,85558371,2616930,-0.06,6.49,4.42,"FirstBlood","N/A","N/A","1","FirstBlood","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.1,0.25]","(1e-05,5e-05]","(5e+07,1e+08]","Gambling"
"2","ADA","Cardano",3728209035,0.143796,25927070538,61486200,0.08,0.88,8.12,"Cardano","Ouroboros","PoS","0","Cardano","Platform","","","",NA,NA,NA,"(1e+09,1.2e+11]","(0,10]","(0.1,0.25]","(1e-05,5e-05]","(1e+10,1e+12]","Smart Contract"
"3","ADX","AdEx",28523936,0.388447,73430701,1292180,-0.39,-4.68,-0.4,"AdEx","N/A","N/A","0","AdEx","Online Media","NEO ICO","Asia","",NA,NA,NA,"(2.5e+07,5e+07]","(200,400]","(0.25,0.5]","(5e-05,0.0001]","(5e+07,1e+08]","Adverts"
"4","AE","Aeternity",493660861,2.12,233020472,6445120,-0.25,0.25,12.24,"Aeternity","N/A","PoW/PoS","0","Aeternity","","","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(1,10]","(0.0001,0.001]","(1e+08,5e+08]","Internet of Things"
"5","AEON","Aeon",21272732,1.34,15831459,8112,-0.59,1.09,12.26,"AEON","CryptoNight-Lite","PoW","0","Aeon","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(1,10]","(0.0001,0.001]","(1e+07,5e+07]","Private Cryptocurrency"
"6","AMP","Synereo",13684479,0.135855,100728564,37756,-0.25,4.98,25.06,"Synereo","N/A","Pow/PoSC","0","Synereo","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Adverts"
"7","ANT","Aragon",57267883,2.03,28215645,168819,-0.25,3.72,10.92,"Aragon","N/A","N/A","0","Aragon","Governance","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(1,10]","(0.0001,0.001]","(1e+07,5e+07]","Decentalised Management"
"8","ARDR","Ardor",165799950,0.165966,998999495,6066320,-0.56,8.82,13.49,"Ardor","N/A","PoS","1","Ardor","","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0.1,0.25]","(1e-05,5e-05]","(5e+08,1e+09]","BlockChain"
"9","ARK","Ark",159452561,1.54,103679312,1826500,0.2,4.82,18.92,"ARK","DPoS","DPoS","0","Ark","","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(1,10]","(0.0001,0.001]","(1e+08,5e+08]","Smart Contract"
"10","AST","AirSwap",22625400,0.150836,1.5e+08,933574,1.76,0.09,14.01,"AirSwap","N/A","N/A","0","AirSwap","DEX","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Decentralized Exchange"
"11","BAY","BitBay",27768858,0.027436,1012146906,99517,-0.31,3.79,23.58,"BitBay","N/A","PoS","0","BitBay","","","","",NA,NA,NA,"(2.5e+07,5e+07]","(200,400]","(0,0.03]","(1e-06,5e-06]","(1e+09,1e+10]","Decentralised Market"
"12","BCN","Bytecoin",596897469,0.003246,183890481254,9665790,-0.88,2.21,11.42,"ByteCoin","CryptoNight","PoW","0","Bytecoin","","","","",NA,NA,NA,"(5e+08,1e+09]","(25,50]","(0,0.03]","(0,1e-06]","(1e+10,1e+12]","Private Cryptocurrency"
"13","BLOCK","Blocknet",71830622,13.76,5221425,55003,1.27,-3.32,2.03,"BlockNet","N/A","PoW/PoS","0","Blocknet","","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(10,25]","(0.001,0.01]","(0,1e+07]","Internet of Things"
"14","BNT","Bancor",153622426,3.07,50096338,5863340,-0.22,1.49,5.42,"Bancor Network Token","N/A","N/A","0","Bancor","","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(1,10]","(0.0001,0.001]","(5e+07,1e+08]","Crowd Funding"
"15","BTC","Bitcoin",113893252336,6646.65,17135437,4103590000,-0.13,0.83,4.09,"Bitcoin","SHA256","PoW","0","Bitcoin","Currency","Coinbase","","POW",NA,NA,NA,"(1e+09,1.2e+11]","(0,10]","(1e+03,1e+04]","(0.05,1.01]","(1e+07,5e+07]","CryptoCurrency"
"16","BTS","BitShares",452475930,0.171445,2639190000,9682270,-0.51,3.87,23.8,"Bitshares","SHA-512","PoS","1","BitShares","Platform","","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(0.1,0.25]","(1e-05,5e-05]","(1e+09,1e+10]","Decentralized Exchange"
"17","CFI","Cofound.it",12840783,0.03951,3.25e+08,148538,0.54,-0.27,12.63,"Cofound.it","N/A","N/A","0","Cofound.it","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(5e-06,1e-05]","(1e+08,5e+08]","Crowd Funding"
"18","CLOAK","CloakCoin",21980140,4.26,5159330,229965,0.46,2.15,13.94,"CloakCoin","X13","PoW/PoS","0","CloakCoin","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(1,10]","(0.0001,0.001]","(0,1e+07]","Private Cryptocurrency"
"19","CREDO","Credo",14666162,0.026671,549891703,NA,-3.32,8.42,12.76,"Credo","N/A","N/A","0","Credo","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0,0.03]","(1e-06,5e-06]","(5e+08,1e+09]","Communication"
"20","CSC","CasinoCoin",15407596,0.000428,35973085511,4004,-2.25,1.94,-12.41,"CasinoCoin","N/A","PoC","0","CasinoCoin","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0,0.03]","(0,1e-06]","(1e+10,1e+12]","Gambling"
"21","CVC","Civic",68404627,0.199605,342699966,5512290,-0.14,-0.59,14,"Civic","N/A","N/A","0","Civic","Identity","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Identity Managment"
"22","DASH","Dash",1974670965,241.38,8180621,185725000,-0.12,1.27,0.21,"Dash","X11","PoW/PoS","0","Dash","Currency","Privacy","","",NA,NA,NA,"(1e+09,1.2e+11]","(10,25]","(100,500]","(0.01,0.05]","(0,1e+07]","CryptoCurrency"
"23","DCR","Decred",488750437,63.98,7639423,4284250,0.06,1.97,-6.67,"Decred","BLAKE256","PoW/PoS","0","Decred","Currency","","","",NA,NA,NA,"(5e+08,1e+09]","(25,50]","(25,100]","(0.001,0.01]","(0,1e+07]","CryptoCurrency"
"24","DCT","DECENT",18564595,0.36184,51306089,1012110,-3.74,-6.2,3.01,"Decent","N/A","PoS","0","DECENT","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.25,0.5]","(5e-05,0.0001]","(5e+07,1e+08]","Content Management"
"25","DENT","Dent",70660553,0.006657,10614760961,211955000,-0.63,41.4,73,"Dent","N/A","N/A","0","Dent","","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0,0.03]","(1e-06,5e-06]","(1e+10,1e+12]","Communication"
"26","DGD","DigixDAO",198017200,99.01,2e+06,429605,-0.17,0.41,2.59,"Digix DAO","N/A","N/A","0","DigixDAO","Security","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(25,100]","(0.01,0.05]","(0,1e+07]","Gold"
"27","DNT","district0x",24804540,0.041341,6e+08,713081,0.83,6.5,28.94,"district0x","N/A","N/A","0","district0x","Governance","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(5e-06,1e-05]","(5e+08,1e+09]","Decentralised Market"
"28","EDG","Edgeless",33132909,0.346435,95639612,476895,-0.04,1.78,13.07,"Edgeless","N/A","N/A","0","Edgeless","","","","",NA,NA,NA,"(2.5e+07,5e+07]","(200,400]","(0.25,0.5]","(5e-05,0.0001]","(5e+07,1e+08]","Gambling"
"29","EDO","Eidoo",28146980,0.961913,29261461,1923840,0.14,-1.2,5.87,"Eidoo","N/A","N/A","0","Eidoo","Wallet","","","",NA,NA,NA,"(2.5e+07,5e+07]","(200,400]","(0.5,1]","(0.0001,0.001]","(1e+07,5e+07]","Finance"
"30","EMC","Emercoin",124801412,2.97,41973616,2268570,-0.17,-1.25,14.08,"Emercoin","SHA256","PoW/PoS","0","Emercoin","","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(1,10]","(0.0001,0.001]","(1e+07,5e+07]","Finance"
"31","EOS","EOS",7781902307,8.68,896149492,572222000,-0.11,0.45,8.51,"EOS","DPoS","DPoS","0","EOS","Platform","","","POS",NA,NA,NA,"(1e+09,1.2e+11]","(0,10]","(1,10]","(0.001,0.01]","(5e+08,1e+09]","Apps"
"32","ETH","Ethereum",47507845142,472.55,100534853,1534230000,-0.29,0.64,4.84,"Ethereum","Ethash","PoW","0","Ethereum","Platform","Coinbase","","POS",NA,NA,NA,"(1e+09,1.2e+11]","(0,10]","(100,500]","(0.05,1.01]","(1e+08,5e+08]","Smart Contract"
"33","FCT","Factom",99005049,11.32,8745102,503755,-0.08,8.84,25.54,"Factoids","N/A","N/A","1","Factom","","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(10,25]","(0.001,0.01]","(0,1e+07]","Notary Services"
"34","FUN","FunFair",144295892,0.028797,5010848189,2638470,-1.44,-2.61,20.44,"FunFair","N/A","N/A","0","FunFair","Gaming","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0,0.03]","(1e-06,5e-06]","(1e+09,1e+10]","Gambling"
"35","GAME","GameCredits",37857872,0.588263,64355352,1019910,-0.4,-1.25,-2.94,"Gamecredits","Scrypt","PoW","0","GameCredits","","","","",NA,NA,NA,"(2.5e+07,5e+07]","(100,200]","(0.5,1]","(5e-05,0.0001]","(5e+07,1e+08]","Gambling"
"36","GNO","Gnosis",54842452,49.65,1104590,2923880,-0.6,7.46,16.3,"Gnosis","N/A","N/A","0","Gnosis","Prediction Markets","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(25,100]","(0.001,0.01]","(0,1e+07]","Predictions"
"37","GNT","Golem",295315832,0.351884,839242000,9528610,-0.48,3.39,6.35,"Golem Network Token","N/A","N/A","1","Golem","Computation","","","",NA,NA,NA,"(1e+08,5e+08]","(25,50]","(0.25,0.5]","(5e-05,0.0001]","(5e+08,1e+09]","Decentralized Computing"
"38","HMQ","Humaniq",13728499,0.081835,167757460,35227,-0.1,-1.93,1.89,"Humaniq","N/A","N/A","0","Humaniq","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(1e-05,5e-05]","(1e+08,5e+08]","Apps"
"39","ICN","Iconomi",68297540,0.688782,99156976,527921,-0.13,2.4,13.1,"Iconomi","N/A","N/A","1","Iconomi","","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.5,1]","(0.0001,0.001]","(5e+07,1e+08]","Finance"
"40","IXT","iXledger",13384865,0.3741,35778844,347290,-0.4,-3.87,26.11,"iXledger","N/A","N/A","0","iXledger","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.25,0.5]","(5e-05,0.0001]","(1e+07,5e+07]","Insurance"
"41","KICK","KickCoin",21270604,0.043382,490311699,1056240,0.65,17.28,3.91,"KickCoin","N/A","N/A","0","KickCoin","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(5e-06,1e-05]","(1e+08,5e+08]","Crowd Funding"
"42","KIN","Kin",105036317,0.000139,756097560976,365923,-1.93,-0.15,0.37,"Kin","N/A","N/A","0","Kin","eCommerce","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0,0.03]","(0,1e-06]","(1e+10,1e+12]","Social Network"
"43","KMD","Komodo",166484581,1.6,104254857,1849710,-0.24,1.51,4.88,"Komodo","Equihash","dPoW/PoW","0","Komodo","Platform","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(1,10]","(0.0001,0.001]","(1e+08,5e+08]","Private Cryptocurrency"
"44","LINK","ChainLink",84544600,0.241556,3.5e+08,966939,-2.16,8.46,18.8,"ChainLink","N/A","N/A","0","ChainLink","Oracle","","","",NA,NA,NA,"(5e+07,1e+08]","(100,200]","(0.1,0.25]","(1e-05,5e-05]","(1e+08,5e+08]","Smart Contract"
"45","LKK","Lykke",18983968,0.059922,316809739,NA,NA,NA,NA,"Lykke","N/A","N/A","1","Lykke","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(0.03,0.1]","(5e-06,1e-05]","(1e+08,5e+08]","Apps"
"46","LRC","Loopring",194818671,0.340548,572074043,4974420,-1.27,2.48,-2.21,"Loopring","N/A","N/A","0","Loopring","","","Asia","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0.25,0.5]","(5e-05,0.0001]","(5e+08,1e+09]","Decentralized Exchange"
"47","LSK","Lisk",603102017,5.6,107718140,7120660,-0.41,1.79,6.68,"Lisk","DPoS","DPoS","1","Lisk","Platform","","","",NA,NA,NA,"(5e+08,1e+09]","(25,50]","(1,10]","(0.0001,0.001]","(1e+08,5e+08]","Apps"
"48","LTC","Litecoin",4765119788,83.17,57293871,243767000,-0.39,0.05,1.62,"Litecoin","Scrypt","PoW","0","Litecoin","Currency","Coinbase","","POW",NA,NA,NA,"(1e+09,1.2e+11]","(0,10]","(25,100]","(0.01,0.05]","(5e+07,1e+08]","CryptoCurrency"
"49","LUN","Lunyr",17482962,7.61,2297853,2666770,-0.32,3.25,10.63,"Lunyr","N/A","N/A","0","Lunyr","","","","",NA,NA,NA,"(1e+07,2.5e+07]","(200,400]","(1,10]","(0.001,0.01]","(0,1e+07]","Wiki"
"50","MAID","MaidSafeCoin",155613767,0.343858,452552412,2371150,-0.09,7.06,4.42,"MaidSafe Coin","N/A","N/A","0","MaidSafeCoin","","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0.25,0.5]","(5e-05,0.0001]","(1e+08,5e+08]","Private Cryptocurrency"
"51","MANA","Decentraland",103030119,0.098111,1050141509,9972070,-0.6,1.84,13.65,"Decentraland","N/A","N/A","0","Decentraland","Gaming","","","",NA,NA,NA,"(1e+08,5e+08]","(50,100]","(0.03,0.1]","(1e-05,5e-05]","(1e+09,1e+10]","VR"
